replay_idx,beatmap_name,mod_str,nm_stars,neg_loglik_FC,neg_loglik_SS_given_FC
87,Omoi - Snow Drive(01.23) [pk's Insane],NM,4.649038423,6.601973864,23.72547601
321,TrySail - High Free Spirits -TV.Ver- [StarR's Extra],NM,6.018273298,6.600135113,18.92202539
968,TrySail - High Free Spirits -TV.Ver- [StarR's Extra],NM,6.018273298,6.600135113,18.92202539
511,senya - Zouka de Arou to Shita Mono [Narcissu's Lunatic],DT,4.294934781,6.57892934,44.03611205
472,OxT - UNION (TV Size) [SSSS],NM,5.655973052,6.577068615,21.10222539
79,Sakuzyo feat. Nikki Simmons - Destr0yer [Another],HDDT,4.473680405,6.519743623,29.53924163
952,Toyama Nao - Gunjou Infinity [Abelia's Insane],NM,4.655378684,6.517097656,37.06708057
741,S3RL - Pika Girl [Insane],NM,4.57261979,6.51190483,37.24383538
143,Ray - km/h (TV Size) [A r M i N's Extra],NM,5.891306546,6.50824842,18.02670867
987,senya - Yakusoku no Chikara [Abyssal Catharsis],DT,4.413855025,6.485142774,34.40020757
84,Koda Kumi - Guess Who Is Back (TV Size) [Expert],HDDT,5.26533795,6.459112921,11.92888697
765,CHiCO with HoneyWorks - Kessen Spirit [FLY HIGH!!],HR,6.502061097,6.454748298,33.6008772
416,Colors*Slash - Colors Power ni Omakasero! [Rainbows],NM,6.032605115,6.454097907,11.92646243
576,Intervals - The Self Surrendered [Forever],HR,5.838544118,6.444353018,40.7273432
788,Poppin'Party - Time Lapse [Insane],DT,4.694678967,6.41814634,12.19444451
57,Fujijo Seitokai Shikkou-bu - Best FriendS [Everlasting MemorieS],HDDT,4.968129534,6.396985901,25.74094687
8,senya - Saihate no Kotoba [Ghostly],HDDT,4.405434927,6.380581614,38.93555557
387,Inugami Korone & Nekomata Okayu - Hyadain's Jojo Yujo [Yuuma & Amateurre's Insane],NM,4.899620121,6.377393154,25.04614735
556,Sakamoto Maaya - Okaerinasai (tomatomerde Remix) [Collab],NM,4.654189034,6.372419798,31.32553461
623,Eve - Outsider [Extra],NM,5.174943068,6.321329918,28.58585045
454,fhana - little secret magic [Linada's Insane],NM,5.073052604,6.269333935,22.70821317
978,DJ Fresh - Gold Dust [Insane],HD,4.929929693,6.268463096,22.92026692
146,Gohma - Forward [Light Breakout],NM,5.207053174,6.258938982,21.13161347
151,Laur - Sound Chimera [Orthrus],HD,4.494444827,6.239547935,44.04735038
437,Brandy - Cross Time !! [captin's Extra],NM,4.96492587,6.235177824,34.90567547
895,Sonny Shimoda & Shoebill - Relapped Foxification [Moderately Renarded],NM,2.973154777,6.198160866,33.91856144
318,YOASOBI - Yasashii Suisei (TV Size) [Frail],HDDT,4.245266545,6.197925621,13.03937235
164,ClariS - SHIORI vs. Hitorigoto [Kencho's Insane],HDDT,4.999893161,6.177222516,15.65650355
402,Ryu* feat.Mayumi Morinaga - Din Don Dan [Din Don Dan],DT,4.410051371,6.174530801,32.72056773
390,HyuN - Infinity Heaven [Ad Infinitum],NM,4.783571013,6.173443255,49.46716231
63,"Megu (CV: Murakawa Rie), Syaro (CV: Uchida Maaya) - Ashioto Tarte Tatin [Kyuuchinyuni's A la Carte]",HDHR,5.767824879,6.17024656,27.7487319
12,Geri Halliwell - It's Raining Men [HP's Slip 'n Slide Mishap],NM,4.187495281,6.162695802,43.3144227
129,ke-ji feat. Nanahira - Ange du Blanc Pur [Insane],NM,4.679647825,6.137145771,44.86749551
618,fhana - little secret magic [HB's Expert],NM,5.508058755,6.109781654,15.4528316
215,SPYAIR - Sakura Mitsutsuki [A r M i N's Extra],HDDT,5.334442467,6.095309787,15.05209155
460,yuikonnu - Heart no Atoaji [Sotarks' Emotions],NM,6.043173542,6.089420686,16.25090943
42,"Yamaguchi Rikako, Asakura Momo, Taneda Risa, Suwa Ayaka, Natsukawa Shiina - UNION!! [6MIX]",HDDT,4.895083174,6.088863771,30.58298157
479,Feint - Tower Of Heaven (You Are Slaves) [Another],HDDTNF,4.392075877,6.082248339,54.47983948
296,CHiCO with HoneyWorks - Kessen Spirit (TV Size) [Sotarks' Revolution],NM,6.223776017,6.06805902,22.17190986
160,Power Of Nature - Shounen wa Sora o Tadoru [Special],NM,5.479451733,6.062255765,41.91135639
951,"storyteller(cosMo x GAiA) feat. IA, Kagamine Rin - Anti the EuphoriaHOLiC [Nowa's Insane]",NM,4.609224988,6.050733584,38.72390737
835,dj TAKA - quaver [Nevo's Extra],HD,6.362436785,6.049447001,11.71760134
817,"Kirisaki Chitoge (CV: Touyama Nao), Onodera Kosaki (CV: Hanazawa Kana) - Taisetsu no Tsukurikata (Asterisk Remix) [Reform's Expert]",HDDT,5.079381801,6.028900373,18.25835244
962,KINEMA106 - Fly Away [Extra],HD,5.591382606,6.022185373,18.67118169
433,Touno Sakura - PRIZM/CIRCUiT [Lovely],NM,4.657795167,6.008503377,35.20325151
517,Renard + Adraen - Physicality [Nogard's Extra],HDHR,5.77368469,6.003007156,20.68718069
690,WALKUERE - Ikenai Borderline [Insane],NM,4.815547566,5.99968203,24.24439203
391,Sarah Connor - Cold As Ice (PH Electro Remix) (Nightcore Mix) [My Angel Kuki's Expert],NM,4.940866712,5.998722738,30.64314187
694,kalon. - Juubaku [VINXIS' Insane],NM,4.81922072,5.995541233,25.75733776
326,Caravan Palace - Lone Digger [Hayu's Hyper],NM,4.772402577,5.965978516,27.26123762
606,Noisia - Shellshock feat. Foreign Beggars [deetz's Insane],NM,4.77365055,5.9517985,21.70376136
214,ClariS - SHIORI -TV size mix- [Apex],HDDT,5.630903936,5.951457085,14.29225085
236,Toby Fox - THE WORLD REVOLVING [CHAOS! CHAOS!],HDHR,6.067897569,5.94548519,21.51928249
256,Hayley Williams - Airplanes (Feint Drum and Bass Remix) [Insane],EZHDDT,3.596974458,5.891339357,4.624295374
302,Araki - Teo [Sotarks' Insane],NM,4.564661314,5.884002721,31.84523192
431,Hanatan - Airman ga Taosenai (SOUND HOLIC Ver.) [Insane],HD,4.893240826,5.879828921,41.82951685
752,Wakeshima Kanon - Tsukinami [Nostalgia],HDDT,6.146689429,5.871438304,29.47154149
222,amazarashi - Kisetsu wa Tsugitsugi Shindeiku [Insane],HD,4.795324452,5.860264762,25.40613906
199,Aitsuki Nakuru - Krewrap no uta [Easy],NM,5.974986222,5.85202256,10.57617584
319,DM DOKURO - SAVE (Encore) [Fatfan's Expert],HDDT,4.998148763,5.848312232,10.22960158
610,DM DOKURO - SAVE (Encore) [Fatfan's Expert],HDDT,4.998148763,5.848312232,10.22960158
247,Set It Off - Horrible Kids [Cataclysm],NM,5.901080833,5.822710156,10.09567958
378,Aether & Sizzlebird - Raccoon City (ft. Veela) [LCFC's Hard],DT,3.382576441,5.816882539,35.38472964
544,THE ORAL CIGARETTES - Mou Ii kai? [Nikakis' Hard],DT,3.343010901,5.806930182,7.228769827
102,yuikonnu - Heart no Atoaji [Insane],NM,5.09544786,5.790885782,21.70811064
855,haisuinonasa - circle [Collab Hard],DT,3.651440507,5.76595893,35.61345014
33,Digital Sexy - Til Death (Nightcore Mix) [Taeyang's Expert],HDDT,5.102735676,5.764646673,11.66095119
398,Nomy - Cocaine (Nightcore Mix) [Insane],HR,5.224747281,5.764519387,24.00598028
904,xi - Ascension to Heaven [Death],HDHR,5.78321379,5.754394444,69.23184749
725,Fujiwara Chika (CV: Kohara Konomi) - Chikatto Chika Chika (TV Size) [Chika],NM,5.795931512,5.706600077,10.39035717
267,Ye Mao - Red Sun In The Sky [Insane],NM,4.543203658,5.704633039,12.870912
339,EVO+ - [A]ddiction [Insane],NM,4.64287149,5.702734969,28.23972583
985,BTS - IDOL [Collab Hard],NM,3.11964844,5.694603379,42.70430051
422,Naoki Miki(CV.Takahashi Rie) & Ebisuzawa Kurumi(CV.Ozawa Ari) - Unhappy End World [Hope],HR,6.076710181,5.673028634,26.28744571
906,Sex Whales & Fraxo - Dead To Me (Instrumental) [A r M i N's Extra],NM,5.423982072,5.650586961,10.44179296
343,They Might Be Giants - Stomp Box [Stomped!],HDDT,4.219946827,5.635887547,17.13526837
720,Zedd - Clarity (feat. Foxes) (kamome sano remix) [The Song Is About a Tragic Love],HDHR,5.486313618,5.612267621,30.66929125
395,senya - Koyoi Index [Lunatic],HDDT,4.042019246,5.607759235,26.72856703
806,dj TAKA - quaver [Reform's Insane],HDDT,4.820982889,5.604648518,10.64672804
645,Shikai Yue - Telecaster B-boy [Free and Dead as a Bird],NM,5.256075821,5.552086976,15.68353663
66,GALNERYUS - RAISE MY SWORD [AnimLoli's Expert],DT,5.617946001,5.551720121,43.56773921
803,THE ORAL CIGARETTES - Mou Ii kai? [NiVo's Extra],HR,5.837338829,5.541031712,36.66637766
426,Porno Graffitti - THE DAY [Meyrink's Insane],NM,5.136562006,5.54029241,14.69995461
231,Bentham - Chicago [Expert],NM,5.544854941,5.505255928,10.25539786
666,"Little Glee Monster - Dakara, Hitori ja Nai (TV Size) [Happiness]",NM,5.763313177,5.503269214,12.33575247
178,Aiurabu - Kani*Do-Luck! (TV Size) [A I U R A !],NM,6.395425699,5.494374333,8.91922356
98,MISSING HEART - MOONLIGHT SHADOW (New Vocal Version) [Heavy],NM,4.432036266,5.460386996,28.51566587
10,TRUE - Soundscape [Skybleru's Hard],HDDT,3.553152405,5.455624448,25.45701684
512,Kano - Dear Brave [Bravery],NM,6.021465304,5.436445821,16.66824043
313,HAG - Arrow [Firika's Insane],NM,4.406599083,5.434590341,32.45801157
