beatmap_name,mods,stars_live,neg_loglik_SS,neg_loglik_300s_and_100s,neg_loglik_FC
Fellowship - Glory Days [Relentless Heartache],NM,7.440694506,58.08280648,20.52735606,15.61623994
Release Hallucination - Chronostasis [A Brilliant Petal Frozen in an Everlasting Moment],NM,8.824001364,62.91687607,21.55233243,15.56990269
Araki - Chiisana Koi no Uta (Synth Rock Cover) [Together],NF,8.162949191,34.88421796,17.09630107,15.26637461
Teminite & Panda Eyes - Highscore [extrad1881 (ar 10)],NM,8.335858265,28.94369425,15.54514469,15.1530778
Nitta emi - Heart beat [Arles],NM,7.553343635,43.96185556,18.12293519,15.10752433
xi - Garyou Tensei [Hello],NM,6.772852515,51.02829531,18.71893377,14.96663433
Imperial Circus Dead Decadence - Danzai No Honoo To Koibito-Tachi No Rondo [Someday they will meet each other again],NM,7.038805853,50.75969266,18.62641492,14.81349798
Emiru no Aishita Tsukiyo ni Dai San Gensou Kyoku wo - ito [Petal],NM,6.772517001,40.54351135,16.87451021,14.71735308
Nhato - Gekka [zerooooo],HDNF,6.826047789,34.50075479,15.99881692,14.66340477
Various Artists - Jump Training Collection #3 [Final Level!! - Yuudachi no Ribbon],NM,7.998304908,30.19782865,15.18612636,14.64706883
Aimiya Zero - -ERROR [Drowning],HD,7.404080235,30.02762355,15.23280664,14.49308995
xi - FREEDOM DiVE [Extra],NF,7.055493229,51.21272298,19.10541134,14.47948303
t+pazolite - CENSORED!! [XXX!!!],NM,7.420015133,31.58315799,15.22574244,14.4617734
Silentroom - Nhelv [iniquitatem],NM,6.425998381,30.47592849,15.72332404,14.31734397
PSYQUI - Hype feat. Such [Nightfall],NM,7.21760102,33.01395996,16.11241788,14.31547403
Kozato snow - Rengetsu Ouka [hana],NM,6.198485925,36.80860792,16.18095051,14.29112587
lapix - Carry Me Away (Extended Mix) [Bright Lights],NM,6.505736469,41.85254274,16.9999666,14.17242493
"Imperial Circus Dead Decadence - Yomi yori Kikoyu, Koukoku no Tou to Honoo no Shoujo. [Kurushimi]",NM,8.22540176,50.59552614,18.4932462,14.11686062
"Imperial Circus Dead Decadence - Yomi yori Kikoyu, Koukoku no Tou to Honoo no Shoujo. [Kurushimi]",NM,8.22540176,50.59552614,18.4932462,14.11686062
Kobaryo - Cartoon Candy [Girl's Mocha Cappucino Deluxe],NM,7.390460908,38.12960101,16.53570029,14.06624298
DECO*27 - Animal feat. Hatsune Miku [qq],NM,6.899017921,30.02833772,15.01864691,13.91557355
Madsonik & Kill the Noise Ft. Tom Morello - Divebomb [DIVE BOMB],HDNF,7.979863836,30.93734392,14.79992289,13.90199742
Kano - Walk This Way! (Cut Ver.) [Happiness!],NM,7.866514472,28.75108724,14.5291421,13.87697356
xi - FREEDOM DiVE [Extreme],NM,6.731949982,49.71357614,18.21558897,13.68607014
Camellia - GHOST [SPEKTRE],NM,7.06088863,52.0307919,19.07084485,13.66733612
L.E.D.-G - BITTER CHOCOLATE STRIKER [ANOTHER],NM,7.521826403,32.92820422,14.88991182,13.65128388
TOMINAGA TOMMY HIROAKI - JoJo ~Sono Chi no Sadame~ Archetype MIX Ver. [Overdrive],NM,6.037285122,31.8114033,14.88829006,13.59617331
Helblinde - Imagine Breaker [woof],HD,7.501561425,36.22235782,15.92345981,13.49394059
GYZE - HONESTY [DISHONEST],NM,7.114507345,66.83205968,19.81175224,13.10893666
Plan B - Candy (Speed Up Ver.) [KINKY NASTY],NM,8.302259844,24.26854227,13.37489026,13.03336726
Silvia - Vertex Gamma [GAMMA],NF,7.887110117,105.0004282,32.80749407,12.93845143
Silvia - Vertex Gamma [GAMMA],NM,7.887110117,105.0004282,32.80749407,12.93845143
Mitsukiyo - Summer Bounce [Paradise Collab],NM,6.009081344,34.75210886,15.1779896,12.88702302
Nekrogoblikon - The Skin Thief [Murder],NM,7.071174752,103.9683549,29.84664357,12.85094066
DimierLisb - Antiqua Doll [Psychoderia],NM,7.456298105,39.51970256,15.41393401,12.8409824
Kissing the Mirror x UNDEAD CORPORATION - Frozen Gear [Hunter In The Mist],NM,7.608327432,60.96187228,20.43090489,12.7810384
"Virtuanoise, Cosmo, Arcek & Zigurat - 4 Aliens At Work [CM vs. N vs. NB vs. T : Fourth day nonstop working in demand]",NM,7.885682284,45.86450034,16.40023336,12.49999203
OISHII - ONIGIRI FREEWAY [EXTREME RICE],NM,7.075432299,38.25404834,14.82160547,12.38749348
Popek - Rhythmic Collapse [Rhytmusstorung],NM,7.460353472,34.82617976,14.36037779,12.22233583
MYTH & ROID - Paradisus-Paradoxum [rem best girl],NM,7.388454296,39.46302091,14.8203611,12.16360291
Yorushika - Deep Indigo [That's Why I Gave up on Mapping],HD,7.168995356,29.44009282,13.10351162,12.15513068
Camellia feat. Nanahira - finorza [Shattered],NF,6.365756789,34.52245219,14.51730272,12.14856709
paraoka - REAL210 [Arles],NM,6.447282337,35.89642528,14.19982191,12.14348853
Franchouchou - Saga Jihen [The jealous dance of a distressed butterfly],NF,6.277362116,29.02450064,13.46351688,12.06026069
Niji No Conquistador - zutto summer de koishiteru [Ultra],NM,7.196046656,26.61928247,12.58906239,11.79919576
glass beach - bedroom community (tv size) [Julaaaan's Community],NM,7.281060635,26.44532118,12.38598256,11.72345409
katagiri - The Eve of the Breakcore Revolution [Extra],NF,6.73544372,46.89204817,15.77273633,11.72282923
SakiZ - osu!favourites [Marathon],NF,7.152229295,25.6943881,13.08974813,11.58105384
FLOOR BABA - WIGGLE CORE [TAP],NM,6.613191615,35.50616042,14.01647424,11.512504
"Katarzyna Bogusz, Ola Maciejewska, Przemyslaw Kleczkowski - Blogoslawieni Milosierni (Krysiek Remix) [Blessed are the Merciful]",NM,5.662186046,18.56105993,11.99803976,11.51001629
xi remixed by cosMo@bousouP - FREEDOM DiVE [METAL DIMENSIONS] [Extra],NM,6.576439792,55.03794178,16.81240797,11.42148633
TOOL - The Pot [High],NM,7.428424047,30.69289301,12.72291458,11.2881248
Team Grimoire - Dantalion [Conflict],NM,6.026841936,49.59312298,16.0933933,11.24331739
SMETANA Band - Ya Govnar' [Extreme],NM,7.288343683,35.31633228,13.16354665,11.1100347
Chroma - I [Mamiko's HEAVENLY],NM,6.359409502,36.28265863,14.22524735,11.08753539
UNDEAD CORPORATION - Yoru Naku Usagi wa Yume o Miru [Madness],NM,6.925652321,30.27998128,12.52020956,11.0663517
Rings of Saturn - Senseless Massacre [Fenza's Genocide],NM,6.911083756,68.38365778,22.85549408,11.05988377
K A Z M A S A - Bon Appetit S (Oldskool HappyHardcore Remix) (Short Ver.) [blend s (220 bpm)],NM,7.274582526,70.39683555,20.4710765,11.05802112
Serenity - Lionheart [Extreme],HD,6.442489526,54.83805592,15.94937061,11.01755551
Hiro - Carol Mega Mix [Yokes' Hidden Presents],HD,5.582682468,43.86248134,14.20846031,11.01226764
Yousei Teikoku - Autoscopy [Extreme],NM,6.313676295,34.28737367,12.86515755,11.00832201
Void - Just Hold on (To All Fighters) [Beginning],NM,6.105086622,59.29366042,17.18273575,10.967545
Void - Just Hold on (To All Fighters) [Beginning],NM,6.105086622,59.29366042,17.18273575,10.967545
Tokyo.MeltiMelt - the Beautiful Cure feat. nayuta [Magnificat],NM,6.620203445,27.12577777,12.04661071,10.89075918
kurokumo - God-ish [Gott ist tot],HD,6.340518388,24.80465433,11.77082335,10.84192698
Yousei Teikoku - Hades: The rise [Hardest],NM,7.003346838,36.35816909,13.01168634,10.83216479
Eve - Gekka*Midare Botan [Meg&Roll_Pan's E-Xtra],NM,6.891694812,34.88254915,12.84676336,10.78210033
3R2 - Mischievous Masquerade [Casual],NM,6.055672154,25.73786896,11.77407969,10.74882118
isoganakya - isogu (Stream Practice Maps) [300BPM],NM,7.451978654,118.7071916,34.56351868,10.66755504
Seiryu - BLUE DRAGON [Blue Dragon],NM,7.002203438,26.09193365,11.3691069,10.59066684
Camellia - epimerization [catalyst],NM,6.707378506,30.59661538,12.40087892,10.560555
Serenity - Lionheart [Extreme],NM,6.442489526,55.96248905,15.80206185,10.55199531
Susumu Hirasawa - SWITCHED-ON LOTUS [Lotus],NM,6.59931386,25.01368422,11.03657437,10.32171954
ONE OK ROCK - Take me to the top [Sotarks' Ascension],NM,6.696545678,27.00463885,10.96377367,10.30492548
"Demetori - Yuuga ni Sakase, Sumizome no Sakura ~ The Harm of Coming into Existence [Stage 6]",HD,7.208390719,33.05179318,12.07372095,10.29343323
Multiple Artists - thing [lol 235],HD,6.800563014,65.7125346,18.11844076,10.275851
GALNERYUS - RAISE MY SWORD [Feruver's Expert],NF,6.083909022,44.93504497,13.83683049,10.16034533
Dark PHOENiX - Ryokugan no Jealousy [Green-Eyed Monster],NM,6.819662028,22.98259073,10.83731172,10.13775135
Wagakki Band - Tengaku [Uncompressed Fury of a Raging Japanese God],NM,7.812080742,42.65409586,14.53650682,10.06960535
DystopiaGround - AugoEidEs [oyasumi],NF,7.221914157,26.90791262,11.06780144,9.983645809
Camellia - Exit This Earth's Atomosphere [Evolution],NM,6.748054818,19.48070096,10.61097371,9.942967521
Miraie - Gucci Gucci Literature Club's Not Hot (ft. Monika) [Elcheer's Extreme Cancer],NM,6.821275074,23.68927307,10.53429487,9.93982551
Busdriver - Imaginary Places [NeBu's Speed Demon],NF,6.920791209,43.58014413,13.348242,9.914193605
Feint - Tower Of Heaven (You Are Slaves) [Heaven],HD,5.545273796,36.62800364,12.51763005,9.87314142
Silvia - Vertex Delta [DELTA],NM,7.216997546,93.01402341,26.74241513,9.857619609
Demetori - Nostalgic Blood of the East ~ Sic World [The Girl Who Reads Scrolls],NM,6.662419798,47.95320884,14.41503699,9.813088315
DystopiaGround - AugoEidEs [oyasumi],HD,7.221914157,26.2029761,10.80961151,9.794037566
TUYU - Namikare [Withering Tears],NM,6.976028127,35.10082127,12.09817641,9.783279804
SHADOWRAZE - SHOWDOWN [add222's zxc],NM,7.253760188,20.43677356,10.13777168,9.736232282
Yooh - LegenD. [GRAVITY],NM,6.10624807,32.11089972,11.68732438,9.640893696
