hidden_layer_count,hidden_layer_size,dropout_percent,init_learning_rate,decay_step_count,loss_0,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7,val_loss_0,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5,val_loss_6,val_loss_7
3,128,0.2,0.01,1000,0.49480709433555603,0.3881526589393616,0.40121641755104065,0.4063816964626312,0.39446502923965454,0.3957437574863434,0.3950553238391876,0.39682239294052124,0.24714529514312744,0.2723754644393921,0.3075644075870514,0.33692097663879395,0.3384168744087219,0.2437094897031784,0.3202849328517914,0.2683040201663971
3,128,0.2,0.01,100,0.5307369232177734,0.39711421728134155,0.40191417932510376,0.4065767228603363,0.3952678143978119,0.3964824378490448,0.39578989148139954,0.39759889245033264,0.28754183650016785,0.34112581610679626,0.28032582998275757,0.3016074597835541,0.30075395107269287,0.3580968976020813,0.28129974007606506,0.2670627236366272
3,128,0.2,0.01,10,0.49649864435195923,0.3994891047477722,0.4043174684047699,0.4092661738395691,0.39785486459732056,0.39887455105781555,0.39827629923820496,0.4001224637031555,0.292169988155365,0.37223318219184875,0.31140583753585815,0.31802451610565186,0.3132965564727783,0.2609626054763794,0.3776043951511383,0.41921424865722656
3,128,0.2,0.001,1000,0.5480912327766418,0.3572659194469452,0.35661929845809937,0.35964277386665344,0.3483588397502899,0.3462751805782318,0.3468971848487854,0.34844693541526794,0.30830860137939453,0.3040861487388611,0.2834404408931732,0.2486412078142166,0.2652808129787445,0.2508391737937927,0.19339925050735474,0.2835114896297455
3,128,0.2,0.001,100,0.5857871770858765,0.37176838517189026,0.3711322546005249,0.37370043992996216,0.3635435402393341,0.3629041612148285,0.3641822040081024,0.3655864894390106,0.3095777928829193,0.27083301544189453,0.20958539843559265,0.2689530849456787,0.2660519480705261,0.2197323441505432,0.22094331681728363,0.22214539349079132
3,128,0.2,0.001,10,1.0189611911773682,0.722551167011261,0.7258284091949463,0.7349722981452942,0.7193525433540344,0.7141542434692383,0.717867910861969,0.7189459204673767,0.36680564284324646,0.3487468361854553,0.3511841893196106,0.30986931920051575,0.3130267262458801,0.4098203778266907,0.38960039615631104,0.30571699142456055
3,128,0.2,0.0001,1000,2.6314778327941895,0.4208126664161682,0.3916688561439514,0.379852294921875,0.36306798458099365,0.35856422781944275,0.35762348771095276,0.35801640152931213,0.3300272524356842,0.3522714078426361,0.2421315312385559,0.2482464611530304,0.30968213081359863,0.29294487833976746,0.2869373857975006,0.2441667765378952
3,128,0.2,0.0001,100,2.294323205947876,0.5401607155799866,0.5012617111206055,0.5036918520927429,0.4867691993713379,0.48565343022346497,0.4880245625972748,0.48917680978775024,0.38370251655578613,0.4178065061569214,0.4258197844028473,0.31861943006515503,0.4125739336013794,0.31411802768707275,0.4227674603462219,0.32537466287612915
3,128,0.2,0.0001,10,8.92198657989502,8.200423240661621,8.26085090637207,8.340386390686035,8.109567642211914,8.0755615234375,8.069652557373047,8.18993091583252,3.659660816192627,2.1784560680389404,3.76692271232605,3.55977201461792,3.868478298187256,3.8126964569091797,2.7853622436523438,2.8070127964019775
3,128,0.1,0.01,1000,0.5050047039985657,0.3964354395866394,0.40364837646484375,0.4060094952583313,0.39505812525749207,0.39566653966903687,0.39509129524230957,0.396809846162796,0.2989969253540039,0.2903776168823242,0.4228673577308655,0.3022013306617737,0.2956044375896454,0.30253005027770996,0.3146761655807495,0.26187968254089355
3,128,0.1,0.01,100,0.5838595628738403,0.35340800881385803,0.35458365082740784,0.3578133285045624,0.34779277443885803,0.34703442454338074,0.34811219573020935,0.3501185476779938,0.2559727430343628,0.30876851081848145,0.2908647954463959,0.26025083661079407,0.30315107107162476,0.24306665360927582,0.26074275374412537,0.2559162676334381
3,128,0.1,0.01,10,0.48668476939201355,0.3862305283546448,0.39115583896636963,0.3949344754219055,0.3842746615409851,0.38419872522354126,0.3842768371105194,0.3867492079734802,0.38001611828804016,0.4035027027130127,0.2716348171234131,0.24821266531944275,0.2802668809890747,0.2511111795902252,0.2442256212234497,0.2695804834365845
3,128,0.1,0.001,1000,0.6328226327896118,0.3540276288986206,0.3540895879268646,0.35668066143989563,0.3456556797027588,0.34360969066619873,0.3445257544517517,0.34639957547187805,0.22257646918296814,0.22212348878383636,0.27776044607162476,0.2849721908569336,0.29331064224243164,0.23427842557430267,0.20246724784374237,0.2201172262430191
3,128,0.1,0.001,100,0.7365384101867676,0.36394262313842773,0.36580660939216614,0.3692099452018738,0.35896962881088257,0.35777705907821655,0.3592470586299896,0.3611021041870117,0.18510299921035767,0.19648224115371704,0.23831292986869812,0.2467208206653595,0.24247810244560242,0.24407659471035004,0.32852986454963684,0.2471928745508194
3,128,0.1,0.001,10,0.5766174793243408,0.4695921838283539,0.4739294946193695,0.47984158992767334,0.4664718210697174,0.46428439021110535,0.4665159583091736,0.4689594805240631,0.22072072327136993,0.34973740577697754,0.2894023656845093,0.34776270389556885,0.27980688214302063,0.2248849868774414,0.28716155886650085,0.3045889735221863
