replay_idx,beatmap_name,mod_str,nm_stars,num_objects,neg_loglik_SS,neg_loglik_S,neg_loglik_FC
152,positive MAD-crew - Mynarco [Extra],NM,5.5173878131160485,639,82.37425342369193,21.37614272649482,14.366007077772323
153,xi - FREEDOM DiVE [ENDLESS DiMENSiONS],NM,7.455631271432983,1999,386.10695567444816,121.56534432424488,83.18779096635312
154,Aether Realm - The Fool [Shadow of the Light],NM,6.901760936538846,1952,284.2806993386515,85.47974991456726,60.818543036795404
155,IOSYS - Cirno Chirumiru [Insane],NM,4.863408665414928,425,67.3150357872544,19.384254890299637,13.603009591539534
156,Camellia feat. Nanahira - finorza [Collab Another],NM,4.807924090169241,942,51.97557239732506,18.89757310899827,16.605263373963687
157,UNDEAD CORPORATION - Everything will freeze [Hard],HR,2.592789553598407,382,19.388106222416436,4.103289319013107,3.2667870520711704
158,Seiryu - BLUE DRAGON [Fiery's Insane],NM,4.838710690187424,484,35.37279403141155,8.08444112460106,6.2638821055901115
159,SPYAIR - Sakura Mitsutsuki (TV Size) [Aurora],NM,5.734609883550435,341,20.410611032664203,6.235892805441886,5.42262950616003
160,Power Of Nature - Shounen wa Sora o Tadoru [Special],NM,5.479451732858583,638,68.17716390491746,14.511107856475011,8.91575633231627
161,Hitomi Harada - Overdrive [Extra],NM,5.700060609375677,468,37.48529183761735,10.147632878977705,8.37392506334602
162,Herve Lavandier - Shuriken School (TV Size) [Insane],DTHR,4.416960440404291,151,7.95365263360739,2.208030860369681,1.9506947460210229
163,Nakajima Megumi - Hello! (TV Size) [Madoka],HDDT,3.259633320885106,196,9.755087725257926,2.358615808747477,2.043880416608939
164,ClariS - SHIORI vs. Hitorigoto [Kencho's Insane],HDDT,4.999893161413507,346,22.473891385811555,7.484724977482356,6.817382434042771
165,RADWIMPS - Zen Zen Zense (movie ver.) [Extra: Taki],NM,5.4374083686855155,455,24.211852578634517,7.3097399725677805,6.405796571608873
166,Linked Horizon - Guren no Yumiya (TV Size) [Insane],NM,4.083471159346917,322,16.7314042544489,3.515172865397744,2.617537176851227
167,HitoshizukuP x Yama - Crazy nighT [EnD],HDNF,8.553634842059086,940,152.98693253369788,96.53456840158162,93.6704669186558
168,Utsu-P feat. Kagamine Rin - Tokyo Teddy Bear [Harupion's Extra],NM,6.113620654543114,943,117.43125240451793,37.11044068055848,27.058083835098532
169,Imperial Circus Dead Decadence - Danzai No Honoo To Koibito-Tachi No Rondo [Piercing Pain],NM,5.440268915841186,1321,153.8708201491584,35.01073891401175,23.13350222981227
170,"kis-kis - ne uchi (Cut Ver.) [stop feeding me all this content, my head feels bloated]",NM,6.4197157762591655,350,23.196005462852202,10.36932320284818,9.95300284787045
171,Panda Eyes & Teminite - Highscore [Game Over],NM,7.334755293352658,997,93.78364868229552,40.76742204921991,38.40153419058494
172,qfeileadh - breathe [Extreme],NM,5.711503904923239,912,165.1294178344502,38.19316335481615,23.64459031605196
173,K A Z M A S A - Bon Appetit S (Oldskool HappyHardcore Remix) (Short Ver.) [blend s],NM,5.780178257858006,1640,242.56108453635676,61.76164881623327,39.168508951363165
174,Will Stetson - Despacito ft. R3 Music Box [Hakura's Extra],HDDT,5.338461890681707,164,13.268088566665282,5.659734934533163,5.337522268656071
175,Grant Kirkhope - King Sandybutt's Tomb [I    N    S    A    N    E],NF,4.402617735271256,256,17.72840710990539,4.211418500136121,3.213787322361116
176,R3 Music Box - Zankoku na Tenshi no These [Intermediate],HDDTHR,2.1797474168898154,44,3.3185596040554883,0.7782766625977178,0.608554340855852
177,ZUN - Dark Side of Fate [Lunatic],NM,4.784486675442235,410,53.182984319866485,10.446012579837024,5.587985888480189
178,Aiurabu - Kani*Do-Luck! (TV Size) [A I U R A !],NM,6.395425698566945,252,14.413597531536155,5.844003177574391,5.494374332784822
179,Unknown Artist - Miniministop Hitoyasumi no Uta[Mokuyoubi]Gakusei no Uta [Chromstrata's Extra],HDDT,3.786219783995845,87,5.282021285415292,1.4601217295277267,1.3343018183143696
180,"Nanahoshi Kangengakudan - Rubik's Cube [43,252,003,274,489,856,000]",NM,8.052040035448307,1555,311.29628476344806,136.74875017309577,120.671912306035
181,"nano - Star light, Star bright (TV Size) [Destiny]",NM,6.310230286081247,404,28.34561452276367,11.295613547342077,10.50512635975787
182,Demetori - Nostalgic Blood of the East ~ Sic World [The Girl Who Reads Scrolls],NM,6.662419797731859,1662,239.17004879051984,71.52381411027238,52.02728857777986
183,Turbo - PADORU / PADORU [Nevo's Expert],NM,5.3268392981124455,117,7.2429715859628825,2.696265494070623,2.508968235012885
184,RADWIMPS - Katawaredoki [Twilight],NC,3.3261235113581686,268,21.116473704101058,3.0312017361860053,2.1275392256941763
185,fourfolium - SAKURA Skip [Press START],HDDT,5.098329720503498,1080,101.23830581831525,26.009651530330707,19.858828521648615
186,UNISON SQUARE GARDEN - Phantom Joke (TV Size) [A r M i N's First Order],NM,6.349626880142682,490,46.91915757562584,15.122134816045262,12.376851150312959
187,DECO*27 - Streaming Heart feat. Hatsune Miku [Extra],NM,5.386261210870192,661,42.69580737838492,14.700609889120416,12.176112306112563
188,kakichoco - Zan'ei [Illusion],HDHR,5.578497392458393,1112,77.60442349569117,14.953209639857512,11.341510645722636
189,Sayuri - Sore wa Chiisana Hikari no Youna (TV Size) [browiec's Expert],HDDT,4.336819850966921,223,11.329322616798402,3.980028279857683,3.7002313937460976
190,THE ORAL CIGARETTES - Flower [Vagueness],NM,6.596428826217857,1125,87.92932234619232,24.208700647359816,19.278996803788402
191,Maneki Kecak - Atashi no Nokori Zenbu Ageru [Daydream],HD,6.552538753399044,1425,104.21796957049457,36.13720911978924,32.17878656160596
192,F-777 - Unsafe Speeds [Net0's Extra],HDNFV2,5.083423677428589,839,119.59331574150129,29.771801145977694,18.714595435903956
193,Junichi Masuda - Gym Leader Battle (Black/White ver.) [vs. Kurai],HDDT,4.095449926749999,310,20.650108837786522,5.188533752298667,4.124691504192555
194,ShinRa-Bansho - Dramatic Hizakurige [adioni's Expert],NM,5.926606788443241,984,85.7652178466793,25.983452958476143,20.68982587127973
195,Omoi - Hey William (New Translation) [oko's Bright Light Insane],DT,3.9065696210850565,724,56.56473539520972,17.4559223416353,14.50709193369826
196,TOMINAGA TOMMY HIROAKI - JoJo ~Sono Chi no Sadame~ Archetype MIX Ver. [Overdrive],NM,6.037285121872459,979,99.01661208785666,35.80476546746189,31.355671772480175
197,John Newman - Love Me Again [Can you love me again?],NM,8.126157976077915,719,77.63647658618726,44.85344110441055,43.591686467833746
198,Hanazono Tae (CV: Otsuka Sae) - Hanazono Denki Guitar!!! [Expert],NM,5.808798933847839,878,70.14994019279483,18.564016834507726,15.012870406020635
199,Aitsuki Nakuru - Krewrap no uta [Easy],NM,5.974986221962739,99,16.42819895852189,6.455177412596027,5.852022559563434
200,DETI RAVE - NA KIEVSKOM DINAMO [DINAMO],NM,6.165408274414939,523,37.38087135569042,15.534217161376981,14.755562359327424
201,Haruna Luna - Sora wa Takaku Kaze wa Utau (TV Size) [Easy],HDDTHRFL,1.2659800260009473,80,6.775871166151181,1.7943308320491005,1.452292807823023
202,Miraie - Gucci Gucci Literature Club's Not Hot (ft. Monika) [Elcheer's Extreme Cancer],NM,6.821275074432141,493,49.47029874717436,24.83513810197891,23.787799800455442
203,Ryokuoushoku Shakai - sabotage [Perspective],DT,5.553951139306872,926,91.76619759921459,28.058332406772248,22.155027302233513
204,THE ORAL CIGARETTES - ReI [Mir's Extra],NM,6.135169914466751,485,50.86738145890823,14.468085746309262,11.641887855103294
205,petit milady - azurite (TV Size) [easy],HDNCHRFL,1.6765858454566436,109,6.017900099018881,1.3015540998474902,1.0270388781774695
206,toby fox - Quiet Water [TheOnlyLeon's Flowing],DT,1.7253434571403188,16,3.3103847134336504,1.6105614849400178,1.3662963243226454
207,Maeda Tatsuyuki - Flying Battery Zone Act 2 [Insane],NC,4.035331815270289,273,28.933422123552898,4.928734371434097,2.76551274496225
208,Suzuki Aina - Hikariiro no Uta (TV Size) [Kirishima-'s Insane],HDNC,4.750177094222924,374,22.2240330043544,4.320876712101826,3.1745848854313534
209,Suzuyu - Love Emotion! [joker's Insane],DT,4.145521694953609,327,33.70022800153331,12.21419329950369,9.976737903993468
210,Imagine Dragons x JID - Enemy (TV Size) [Misery],HDDT,4.4928928534156425,154,12.414746747179446,5.511562769910984,5.0257968556072266
211,weyheyhey !! - UP THE BUM NO BAIIIIIBEEZ [JUMP AROUND],NM,7.010331876722278,1151,108.62126196275503,49.587640237874794,43.938817370437555
212,cosMo@BousouP feat. Hatsune Miku - Machinegun Poem Doll [Chaotic Burst of Maniac Rhythm],NM,6.293297811749589,1034,172.2181523060726,54.485224739284156,38.77484713794389
