dropout,optimizer_idx,loss,categorical_acc,val_loss,val_categorical_acc
0,0,0.3525332808494568,0.9034939408302307,0.3477541506290436,0.9036120176315308
0,1,0.3503822982311249,0.9035036563873291,0.3495592772960663,0.9036144018173218
0,2,0.34545961022377014,0.9035419225692749,0.3406871259212494,0.9036160707473755
0,3,0.34495335817337036,0.9035308361053467,0.34106215834617615,0.9036155939102173
1,0,0.3488549292087555,0.9035066962242126,0.3453684449195862,0.9036073684692383
1,1,0.3478906750679016,0.9035177826881409,0.3466917872428894,0.9035225510597229
1,2,0.3445109724998474,0.9035484790802002,0.3396918773651123,0.9036127328872681
1,3,0.3432934284210205,0.9035519361495972,0.34044894576072693,0.9036163687705994
2,0,0.3438226878643036,0.9035733342170715,0.34365618228912354,0.9034171104431152
2,1,0.34344980120658875,0.9035259485244751,0.34540310502052307,0.9035784006118774
2,2,0.34253212809562683,0.9035500288009644,0.33859220147132874,0.9036059379577637
2,3,0.34122130274772644,0.9035459160804749,0.3391392230987549,0.9036081433296204
