replay_idx,username,beatmap_name,mod_str,nm_stars,count_300,count_100,count_50,count_miss,perplexity
0,Accolibed,VINXIS - Sidetracked Day [Infinity Inside],HDDT,6.826959658617009,1608,84,0,0,53.75964255070452
1,Accolibed,DragonForce - Valley of the Damned [Apocalypse],DT,6.15556253213743,2126,22,0,0,24.379850263333395
3,Accolibed,Xi - Shoujo Kisoukyoku ~ Speed Battle [Extra Stage],HDDT,6.0060237499856495,1258,49,0,0,42.31275279139888
4,Accolibed,Apocalyptica - Reign of Fear [VI],DT,6.234474050379725,1503,82,1,1,84.52497394501523
5,aetrna,xi - Ascension to Heaven [Death],HDDTHR,5.783212956609665,805,46,0,0,38.525717708547106
6,aetrna,07th Expansion - rog-unlimitation [AngelHoney],HDDTHR,6.118187281813472,561,48,0,0,46.31650587951029
7,aetrna,Mage - The Words I Never Said [Regret],HDDT,5.753690977912469,1713,29,0,0,22.81991972882492
8,aetrna,yuikonnu - Chikyuu Saigo no Kokuhaku o [Longing],HDDT,5.784914626961346,1110,7,0,0,16.655743532112954
9,aetrna,44teru-k - F.I [Insane],HDDTHR,5.2694574975269655,647,20,0,0,18.810735764453305
10,Benthonic,Charlie Clouser - Hello Zepp [Twist],HDDT,4.619498868346137,399,4,0,0,8.648204411534145
11,Benthonic,Bruno Mars - Marry You [Insane],HDDT,3.810628356675648,762,0,0,0,7.726441605338051
12,BlackDog5,Bliitzit - Team Magma & Aqua Leader Battle Theme (Unofficial) [Catastrophe],HDDTHR,6.413247155083175,308,8,0,0,9.488410391752913
13,BlackDog5,SPYAIR - Imagination (TV Size) [Ambition],HDDTHR,6.54533179531643,325,8,0,0,8.523539214092038
14,BlackDog5,Nogizaka46 - Yubi Bouenkyou (TV Size) [Fate],HDNCHR,6.51284444515977,330,7,0,0,10.31310965487669
15,BlackDog5,Yamajet feat. Hiura Masako - Sunglow [Harmony],HDDT,6.240666656709768,1153,3,0,0,12.541269447974031
16,BlackDog5,Release Hallucination - Chronostasis [A Brilliant Petal Frozen in an Everlasting Moment],HR,8.82397578927547,2663,26,0,2,27.068055624683087
17,Chicony,Yuaru - Asu no Yozora Shoukaihan [Sky Arrow],HDDT,6.124384974284987,902,7,2,0,22.08427142107719
18,Chicony,Kano - Stella-rium (Asterisk MAKINA Remix) [Starlight],DT,6.0565574778888145,1581,16,1,2,34.19446946788128
19,Chicony,Nekomata Master+ - encounter [Kotori's Extreme],HDDT,5.906863331280942,667,42,1,1,42.44787197273354
20,Chicony,positive MAD-crew - Mynarco [Withdrawals],HDDT,6.017460103820915,656,24,0,0,24.705735910138245
21,Chicony,Kano - Prima Stella [Caged],HDDT,6.247207713706941,1198,18,0,0,25.31869737137609
22,chocomint,Demetori - Shinkou wa Hakanaki Ningen no Tame ni ~ Jehovah's YaHVeH [Camo & Winter's Extra Stage],HDHR,7.779938707614659,2485,14,0,2,22.214956921797494
23,chocomint,xi - FREEDOM DiVE [ENDLESS DiMENSiONS],HDHR,7.454186195308175,2001,6,0,2,12.759534762497463
24,chocomint,BABYMETAL - Arkadia [Fighting on the Road of Arkadia's Tragic Tale],HD,8.067626129110469,2275,5,0,0,11.718605195650852
26,chocomint,Release Hallucination - I.F. [My Loneliness Grows as the Moment of Farewell Surrounds Us],HD,7.690060818318684,2547,16,0,0,15.855601543432547
27,enri,Kano - Prima Stella [Caged],HDDT,6.247207713706941,1203,13,0,0,19.220221833911825
28,enri,Serenity - Lionheart [Expert],HDDTSD,5.709158922628413,1324,31,0,0,33.93456390942801
29,enri,ke-ji feat. Nanahira - Ange du Blanc Pur [Extra],HDNC,5.8361348280156475,1031,13,0,0,19.71581911326297
30,enri,KISIDA KYODAN & THE AKEBOSI ROCKETS - Shitteru? Madousho wa Donki ni mo Naru no yo [shitteru?],HDDT,6.414639219593065,410,6,0,0,10.60017690818842
31,enri,Silver Forest - Yami no Mahou Shoujo [Extra],HDDT,5.672834386680964,777,24,0,0,26.196204309949813
32,epic gaming,VINXIS - Sidetracked Day (Short Ver.) [A r M i N's Extra],HDNCHR,5.55120420552228,586,15,0,0,15.44949665068445
33,epic gaming,Mutsuhiko Izumi - Snow Goose [Extra],HDNCHRSO,5.7307517369258125,623,33,2,0,36.06167530307074
34,epic gaming,Silver Forest - Yami no Mahou Shoujo [Extra],HDDT,5.672834386680964,786,14,0,1,22.86050894535178
